prefix_bits,prefix_hex,vendor,registry
24,0001BA,"IC-Net, Inc.",MA-L
24,0001BB,Frequentis,MA-L
24,0001BC,Brains Corporation,MA-L
24,0001BD,"Peterson Electro-Musical Products, Inc.",MA-L
24,0001BE,"Gigalink Co., Ltd.",MA-L
24,0001BF,"Teleforce Co., Ltd.",MA-L
24,0001C0,"CompuLab, Ltd.",MA-L
24,0001C1,Vitesse Semiconductor Corporation,MA-L
24,0001C2,ARK Research Corp.,MA-L
24,0001C3,"Acromag, Inc.",MA-L
24,0001C4,"NeoWave, Inc.",MA-L
24,0001C5,Simpler Networks,MA-L
24,0001C6,Quarry Technologies,MA-L
24,0001C7,"Cisco Systems, Inc",MA-L
24,0001C8,THOMAS CONRAD CORP.,MA-L
24,0001C9,"Cisco Systems, Inc",MA-L
24,0001CA,"Geocast Network Systems, Inc.",MA-L
24,0001CB,EVR,MA-L
24,0001CC,Brand Maker Enabler Inc.,MA-L
24,0001CD,ARtem,MA-L
24,0001CE,"Custom Micro Products, Ltd.",MA-L
24,0001CF,"Alpha Data Parallel Systems, Ltd.",MA-L
24,0001D0,"VitalPoint, Inc.",MA-L
24,0001D1,"CoNet Communications, Inc.",MA-L
24,0001D2,"inXtron, Inc.",MA-L
24,0001D3,"PAXCOMM, Inc.",MA-L
24,0001D4,"Leisure Time, Inc.",MA-L
24,0001D5,"HAEDONG INFO & COMM CO., LTD",MA-L
24,0001D6,manroland AG,MA-L
24,0001D7,F5 Inc.,MA-L
24,0001D8,"Teltronics, Inc.",MA-L
24,0001D9,"Sigma, Inc.",MA-L
24,0001DA,WINCOMM Corporation,MA-L
24,0001DB,Freecom Technologies GmbH,MA-L
24,0001DC,Activetelco,MA-L
24,0001DD,Avail Networks,MA-L
24,0001DE,"Trango Systems, Inc.",MA-L
24,0001DF,"ISDN Communications, Ltd.",MA-L
24,0001E0,"Fast Systems, Inc.",MA-L
24,0001E1,"Kinpo Electronics, Inc.",MA-L
24,0001E2,Ando Electric Corporation,MA-L
24,0001E3,Siemens AG,MA-L
24,0001E4,"Sitera, Inc.",MA-L
24,0001E5,"Supernet, Inc.",MA-L
24,0001E6,Hewlett Packard,MA-L
24,0001E7,Hewlett Packard,MA-L
24,0001E8,"Force10 Networks, Inc.",MA-L
24,0001E9,Litton Marine Systems B.V.,MA-L
24,0001EA,Cirilium Corp.,MA-L
24,0001EB,C-COM Corporation,MA-L
24,0001EC,Ericsson Group,MA-L
24,0001ED,SETA Corp.,MA-L
24,0001EE,"Comtrol Europe, Ltd.",MA-L
24,0001EF,Camtel Technology Corp.,MA-L
24,0001F0,"Tridium, Inc.",MA-L
24,0001F1,"Innovative Concepts, Inc.",MA-L
24,0001F2,"Mark of the Unicorn, Inc.",MA-L
24,0001F3,"QPS, Inc.",MA-L
24,0001F4,Enterasys,MA-L
24,0001F5,ERIM S.A.,MA-L
24,0001F6,Association of Musical Electronics Industry,MA-L
24,0001F7,"Image Display Systems, Inc.",MA-L
24,0001F8,TEXIO TECHNOLOGY CORPORATION,MA-L
24,0001F9,TeraGlobal Communications Corp.,MA-L
24,0001FA,HOROSCAS,MA-L
24,0001FB,"DoTop Technology, Inc.",MA-L
24,0001FC,Keyence Corporation,MA-L
24,0001FD,"Digital Voice Systems, Inc.",MA-L
24,0001FE,DIGITAL EQUIPMENT CORPORATION,MA-L
24,0001FF,"Data Direct Networks, Inc.",MA-L
24,000200,"Net & Sys Co., Ltd.",MA-L
24,000201,IFM Electronic gmbh,MA-L
24,000202,"Amino Communications, Ltd.",MA-L
24,000203,"Woonsang Telecom, Inc.",MA-L
24,000204,Bodmann Industries Elektronik GmbH,MA-L
24,000205,"Hitachi Denshi, Ltd.",MA-L
24,000206,Telital R&D Denmark A/S,MA-L
24,000207,VisionGlobal Network Corp.,MA-L
24,000208,"Unify Networks, Inc.",MA-L
24,000209,"Shenzhen SED Information Technology Co., Ltd.",MA-L
24,00020A,Gefran Spa,MA-L
24,00020B,"Native Networks, Inc.",MA-L
24,00020C,Metro-Optix,MA-L
24,00020D,Micronpc.com,MA-L
24,00020E,ECI Telecom Ltd.,MA-L
24,00020F,AATR,MA-L
24,000210,Fenecom,MA-L
24,000211,Nature Worldwide Technology Corp.,MA-L
24,000212,SierraCom,MA-L
24,000213,S.D.E.L.,MA-L
24,000214,DTVRO,MA-L
24,000215,Cotas Computer Technology A/B,MA-L
24,000216,"Cisco Systems, Inc",MA-L
24,000217,"Cisco Systems, Inc",MA-L
24,000218,Advanced Scientific Corp,MA-L
24,000219,Paralon Technologies,MA-L
24,00021A,Zuma Networks,MA-L
24,00021B,Kollmorgen-Servotronix,MA-L
24,00021C,"Network Elements, Inc.",MA-L
24,00021D,Data General Communication Ltd.,MA-L
24,00021E,SIMTEL S.R.L.,MA-L
24,00021F,Aculab PLC,MA-L
24,000220,CANON FINETECH INC.,MA-L
24,000221,"DSP Application, Ltd.",MA-L
24,000222,"Chromisys, Inc.",MA-L
24,000223,ClickTV,MA-L
24,000224,C-COR,MA-L
24,000225,One Stop Systems,MA-L
24,000226,"XESystems, Inc.",MA-L
24,000227,ESD Electronic System Design GmbH,MA-L
24,000228,"Necsom, Ltd.",MA-L
24,000229,Adtec Corporation,MA-L
24,00022A,Asound Electronic,MA-L
24,00022B,"SAXA, Inc.",MA-L
24,00022C,"ABB Bomem, Inc.",MA-L
24,00022D,Agere Systems,MA-L
24,00022E,TEAC Corp. R& D,MA-L
24,00022F,"P-Cube, Ltd.",MA-L
24,000230,Intersoft Electronics,MA-L
24,000231,Ingersoll-Rand,MA-L
24,000232,"Avision, Inc.",MA-L
24,000233,"Mantra Communications, Inc.",MA-L
24,000234,"Imperial Technology, Inc.",MA-L
24,000235,Paragon Networks International,MA-L
24,000236,INIT GmbH,MA-L
24,000237,Cosmo Research Corp.,MA-L
24,000238,"Serome Technology, Inc.",MA-L
24,000239,Visicom,MA-L
24,00023A,ZSK Stickmaschinen GmbH,MA-L
24,00023B,Ericsson,MA-L
24,00023C,"Creative Technology, Ltd.",MA-L
24,00023D,"Cisco Systems, Inc",MA-L
24,00023E,Selta Telematica S.p.a,MA-L
24,00023F,Compal Electronics INC.,MA-L
24,000240,"Seedek Co., Ltd.",MA-L
24,000241,Amer.com,MA-L
24,000242,Videoframe Systems,MA-L
